OriginalDateString,CohortName,UnitActivity
11/19/2024,FSDI Ch 54 (9-12pm),FSDI 101
11/21/2024,FSDI Ch 54 (9-12pm),FSDI 101
11/23/2024,FSDI Ch 54 (9-12pm),FSDI 101
11/26/2024,FSDI Ch 54 (9-12pm),FSDI 101
11/30/2024,FSDI Ch 54 (9-12pm),FSDI 102
12/03/2024,FSDI Ch 54 (9-12pm),FSDI 102
12/05/2024,FSDI Ch 54 (9-12pm),FSDI 102
12/07/2024,FSDI Ch 54 (9-12pm),FSDI 102
12/10/2024,FSDI Ch 54 (9-12pm),FSDI 103
12/12/2024,FSDI Ch 54 (9-12pm),FSDI 103
12/14/2024,FSDI Ch 54 (9-12pm),FSDI 103
12/17/2024,FSDI Ch 54 (9-12pm),FSDI 103
12/19/2024,FSDI Ch 54 (9-12pm),FSDI 104
12/21/2024,FSDI Ch 54 (9-12pm),FSDI 104
12/31/2024,FSDI Ch 54 (9-12pm),FSDI 104
01/02/2025,FSDI Ch 54 (9-12pm),FSDI 104
01/04/2025,FSDI Ch 54 (9-12pm),FSDI 105
01/07/2025,FSDI Ch 54 (9-12pm),FSDI 105
01/09/2025,FSDI Ch 54 (9-12pm),FSDI 105
01/11/2025,FSDI Ch 54 (9-12pm),FSDI 105
01/14/2025,FSDI Ch 54 (9-12pm),FSDI 106
01/16/2025,FSDI Ch 54 (9-12pm),FSDI 106
01/18/2025,FSDI Ch 54 (9-12pm),FSDI 106
01/21/2025,FSDI Ch 54 (9-12pm),FSDI 106
01/23/2025,FSDI Ch 54 (9-12pm),FSDI 107
01/25/2025,FSDI Ch 54 (9-12pm),FSDI 107
01/28/2025,FSDI Ch 54 (9-12pm),FSDI 107
01/30/2025,FSDI Ch 54 (9-12pm),FSDI 107
02/01/2025,FSDI Ch 54 (9-12pm),FSDI 108
02/04/2025,FSDI Ch 54 (9-12pm),FSDI 108
02/06/2025,FSDI Ch 54 (9-12pm),FSDI 108
02/08/2025,FSDI Ch 54 (9-12pm),FSDI 108
02/11/2025,FSDI Ch 54 (9-12pm),FSDI 109
02/13/2025,FSDI Ch 54 (9-12pm),FSDI 109
02/15/2025,FSDI Ch 54 (9-12pm),FSDI 109
02/18/2025,FSDI Ch 54 (9-12pm),FSDI 109
02/20/2025,FSDI Ch 54 (9-12pm),FSDI 110
02/22/2025,FSDI Ch 54 (9-12pm),FSDI 110
02/25/2025,FSDI Ch 54 (9-12pm),FSDI 110
02/27/2025,FSDI Ch 54 (9-12pm),FSDI 110
03/01/2025,FSDI Ch 54 (9-12pm),FSDI 111
03/04/2025,FSDI Ch 54 (9-12pm),FSDI 111
03/06/2025,FSDI Ch 54 (9-12pm),FSDI 111
03/08/2025,FSDI Ch 54 (9-12pm),FSDI 111
03/11/2025,FSDI Ch 54 (9-12pm),FSDI 112
03/13/2025,FSDI Ch 54 (9-12pm),FSDI 112
03/15/2025,FSDI Ch 54 (9-12pm),FSDI 112
03/18/2025,FSDI Ch 54 (9-12pm),FSDI 112
03/20/2025,FSDI Ch 54 (9-12pm),FSDI 113
03/22/2025,FSDI Ch 54 (9-12pm),FSDI 113
03/25/2025,FSDI Ch 54 (9-12pm),FSDI 113
03/27/2025,FSDI Ch 54 (9-12pm),FSDI 113
03/29/2025,FSDI Ch 54 (9-12pm),FSDI 114
04/01/2025,FSDI Ch 54 (9-12pm),FSDI 114
04/03/2025,FSDI Ch 54 (9-12pm),FSDI 114
04/05/2025,FSDI Ch 54 (9-12pm),FSDI 114
04/08/2025,FSDI Ch 54 (9-12pm),FSDI 115
04/10/2025,FSDI Ch 54 (9-12pm),FSDI 115
04/12/2025,FSDI Ch 54 (9-12pm),FSDI 115
04/19/2025,FSDI Ch 54 (9-12pm),FSDI 115
04/22/2025,FSDI Ch 54 (9-12pm),FSDI 116
04/24/2025,FSDI Ch 54 (9-12pm),FSDI 116
04/26/2025,FSDI Ch 54 (9-12pm),FSDI 116
04/29/2025,FSDI Ch 54 (9-12pm),FSDI 116
05/01/2025,FSDI Ch 54 (9-12pm),FSDI 117
05/03/2025,FSDI Ch 54 (9-12pm),FSDI 117
